;Age;DaysSinceCreation;AverageLeadTime;LodgingRevenue;OtherRevenue;BookingsCanceled;BookingsNoShowed;BookingsCheckedIn;PersonsNights;RoomNights;DaysSinceLastStay;DaysSinceFirstStay;SRHighFloor;SRLowFloor;SRBathtub;SRShower;SRCrib;SRKingSizeBed;SRTwinBed;SRAwayFromElevator;SRQuietRoom;NofVisit
Age;1,0;0,12576819119026433;0,19742843257871612;0,1016855423515454;0,1735896697729384;;;0,1993688297326959;0,13887019392739783;0,1642571309263037;0,15906183454443332;0,15942832770961904;-0,0326714139014687;0,01326451897660251;-0,01896800896151985;0,010140720218392883;-0,12254518608206494;0,0003594286589688097;0,00323700302915364;0,00966360200403167;0,020324803556996094;0,021541709765845986
DaysSinceCreation;0,12576819119026433;1,0;0,14953601602959574;0,16246869063142097;0,23874281272776265;;;0,40502427707053273;0,2877096664530209;0,29362221124084303;0,9067896603565456;0,907823997939539;-0,021857621560848747;-0,005289768932345098;-0,009799918724525314;-0,006383468937933911;-0,04255488531531613;-0,030102790054580025;-0,028446837919118947;0,011049244090280384;-0,04686239987175871;-0,02194094965787567
AverageLeadTime;0,19742843257871612;0,14953601602959574;1,0;0,35857694133421464;0,3480237664499646;;;0,4472950701743668;0,4541480833236324;0,45515821536499246;0,2663301131787387;0,2650549377911674;-0,01320203637104966;-0,0028690528724124305;-0,007496327086578839;0,009516815859658382;-0,040154670064156454;-0,012621091776068152;0,05653812643566934;0,0034101917368369664;0,024385230316836422;-0,05800983393040992
LodgingRevenue;0,1016855423515454;0,16246869063142097;0,35857694133421464;1,0;0,6006316809418444;;;0,6109237695109446;0,7422722204979507;0,7733905505300255;0,31892386318362864;0,3193117408794079;0,014399498089129735;0,004248491431292384;0,0037262270890274438;0,010183564419602572;-0,03329354377671408;0,009326888161269536;0,015419761411317628;0,016838819598195887;0,06435274191536532;-0,029252332125241014
OtherRevenue;0,1735896697729384;0,23874281272776265;0,3480237664499646;0,6006316809418444;1,0;;;0,48310078242588156;0,6646537470808258;0,6274596635208497;0,3521384441095131;0,3522767235802748;-0,0011697333692037323;0,004741973726152693;0,010782277352762503;0,010724578845367342;-0,011789304201250099;0,017702262098996346;0,0038905833063427376;0,013804754773743587;0,03169171614670407;-0,03280327757653274
BookingsCanceled;;;;;;;;;;;;;;;;;;;;;;
BookingsNoShowed;;;;;;;;;;;;;;;;;;;;;;
BookingsCheckedIn;0,1993688297326959;0,40502427707053273;0,4472950701743668;0,6109237695109446;0,48310078242588156;;;1,0;0,6326945533939001;0,7080426752007727;0,630295102355458;0,6353901365782687;-0,022239833679556852;-0,006892447084793234;-0,006995686988257554;3,5939926303720884e-05;-0,058946972470397194;-0,017915447356623166;-0,039488002791480216;0,004517402548380023;-0,006532317542434875;0,06244950169163574
PersonsNights;0,13887019392739783;0,2877096664530209;0,4541480833236324;0,7422722204979507;0,6646537470808258;;;0,6326945533939001;1,0;0,9077752755288955;0,4418564884701388;0,4417583804718718;0,011396402699004566;0,0034237786205490632;0,012683979709706368;0,009864966375205578;-0,02353322800079335;0,025390160138383452;0,008513243655666048;0,01489619870522212;0,03394451724638033;-0,058498712475851165
RoomNights;0,1642571309263037;0,29362221124084303;0,45515821536499246;0,7733905505300255;0,6274596635208497;;;0,7080426752007727;0,9077752755288955;1,0;0,465391252604882;0,46643352613990624;-0,0032947617889838637;-0,001017811210300222;0,012929594991055098;0,008444350139027685;-0,04575951393056207;0,006980632994173178;-0,026780610687216523;0,013791656778211283;0,02495158498451889;-0,02667949293575366
